选区编号?,选区名称（中文）?,地区?,国家/构成国
133,卡沙尔顿与沃灵顿,伦敦,英格兰
134,卡斯尔波因特,东英格兰,英格兰
135,锡尔迪金,威尔士,威尔士
136,查恩伍德,东米德兰兹,英格兰
137,查塔姆与艾尔斯福德,东南英格兰,英格兰
138,奇德尔,西北英格兰,英格兰
139,切姆斯福德,东英格兰,英格兰
140,切尔西与富勒姆,伦敦,英格兰
141,切尔滕纳姆,西南英格兰,英格兰
142,切舍姆与阿默舍姆,东南英格兰,英格兰
143,切斯特市,西北英格兰,英格兰
144,切斯特菲尔德,东米德兰兹,英格兰
145,奇切斯特,东南英格兰,英格兰
146,钦福德与伍德福德格林,伦敦,英格兰
147,奇彭纳姆,西南英格兰,英格兰
148,奇平巴尼特,伦敦,英格兰
149,乔利,西北英格兰,英格兰
150,克赖斯特彻奇,西南英格兰,英格兰
151,伦敦城与威斯敏斯特,伦敦,英格兰
152,克莱克顿,东英格兰,英格兰
153,克利索普斯,约克郡-亨伯,英格兰
154,克卢伊德南,威尔士,威尔士
155,克卢伊德西,威尔士,威尔士
156,科特布里奇、克莱斯顿与贝尔希尔,苏格兰,苏格兰
157,科尔切斯特,东英格兰,英格兰
158,科恩谷,约克郡-亨伯,英格兰
159,康格尔顿,西北英格兰,英格兰
160,科普兰,西北英格兰,英格兰
161,科比,东米德兰兹,英格兰
162,北康沃尔,西南英格兰,英格兰
163,东南康沃尔,西南英格兰,英格兰
164,科茨沃尔德,西南英格兰,英格兰
165,考文垂东北,西米德兰兹,英格兰
166,考文垂西北,西米德兰兹,英格兰
167,考文垂南,西米德兰兹,英格兰
168,克劳利,东南英格兰,英格兰
169,克鲁与南特威奇,西北英格兰,英格兰
170,克罗伊登中央,伦敦,英格兰
171,克罗伊登北,伦敦,英格兰
172,克罗伊登南,伦敦,英格兰
173,坎伯诺尔德、基尔塞斯与东柯金蒂洛赫,苏格兰,苏格兰
174,锡农谷,威尔士,威尔士
175,达格纳姆与雷纳姆,伦敦,英格兰
176,达灵顿,东北英格兰,英格兰
177,达特福德,东南英格兰,英格兰
178,达文特里,东米德兰兹,英格兰
179,德林,威尔士,威尔士
180,登顿与雷迪什,西北英格兰,英格兰
181,德比北,东米德兰兹,英格兰
182,德比南,东米德兰兹,英格兰
183,德比郡谷地,东米德兰兹,英格兰
184,中德比郡,东米德兰兹,英格兰
185,东北德比郡,东米德兰兹,英格兰
186,南德比郡,东米德兰兹,英格兰
187,德维齐斯,西南英格兰,英格兰
188,中德文郡,西南英格兰,英格兰
189,东德文郡,西南英格兰,英格兰
190,北德文郡,西南英格兰,英格兰
191,西南德文郡,西南英格兰,英格兰
192,西德文郡与托里奇,西南英格兰,英格兰
193,迪斯伯里,约克郡-亨伯,英格兰
194,唐谷,约克郡-亨伯,英格兰
195,唐卡斯特中央,约克郡-亨伯,英格兰
196,唐卡斯特北,约克郡-亨伯,英格兰
197,中多塞特与普尔北,西南英格兰,英格兰
198,北多塞特,西南英格兰,英格兰
199,南多塞特,西南英格兰,英格兰
200,西多塞特,西南英格兰,英格兰
201,多佛,东南英格兰,英格兰
202,北当,北爱尔兰,北爱尔兰
203,南当,北爱尔兰,北爱尔兰
204,达德利北,西米德兰兹,英格兰
205,达德利南,西米德兰兹,英格兰
206,达利奇与西诺伍德,伦敦,英格兰
207,邓弗里斯与加洛韦,苏格兰,苏格兰
208,邓弗里斯郡、克莱兹代尔与特威代尔,苏格兰,苏格兰
209,东邓巴顿郡,苏格兰,苏格兰
210,西邓巴顿郡,苏格兰,苏格兰
211,邓迪东,苏格兰,苏格兰
212,邓迪西,苏格兰,苏格兰
213,邓弗姆林与西法夫,苏格兰,苏格兰
214,达勒姆市,东北英格兰,英格兰
215,北达勒姆,东北英格兰,英格兰
216,西北达勒姆,东北英格兰,英格兰
217,多尔威梅里奥尼德,威尔士,威尔士
218,伊灵中央与阿克顿,伦敦,英格兰
219,伊灵北,伦敦,英格兰
220,南伊灵,伦敦,英格兰
221,伊辛顿,东北英格兰,英格兰
222,东汉姆,伦敦,英格兰
223,东基尔布赖德、斯特拉撒文与莱斯马哈戈,苏格兰,苏格兰
224,东洛锡安,苏格兰,苏格兰
225,伊斯特本,东南英格兰,英格兰
226,伊斯特利,东南英格兰,英格兰
227,埃迪斯伯里,西北英格兰,英格兰
228,爱丁堡东,苏格兰,苏格兰
229,爱丁堡北与利斯,苏格兰,苏格兰
230,爱丁堡南,苏格兰,苏格兰
231,爱丁堡西南,苏格兰,苏格兰
232,爱丁堡西,苏格兰,苏格兰
233,埃德蒙顿,伦敦,英格兰
234,埃尔斯米尔港与内斯顿,西北英格兰,英格兰
235,埃尔梅特与罗斯韦尔,约克郡-亨伯,英格兰
236,埃尔瑟姆,伦敦,英格兰
237,恩菲尔德北,伦敦,英格兰
238,恩菲尔德南门,伦敦,英格兰
239,埃平森林,东英格兰,英格兰
240,埃普瑟姆与尤厄尔,东南英格兰,英格兰
241,埃里沃什,东米德兰兹,英格兰
242,伊里斯与泰晤士米德,伦敦,英格兰
243,埃舍尔与沃尔顿,东南英格兰,英格兰
244,埃克塞特,西南英格兰,英格兰
245,福尔柯克,苏格兰,苏格兰
246,法勒姆,东南英格兰,英格兰
247,法弗舍姆与中肯特,东南英格兰,英格兰
248,费尔瑟姆与希斯顿,伦敦,英格兰
249,弗马纳与南蒂龙,北爱尔兰,北爱尔兰
250,东北法夫,苏格兰,苏格兰
251,菲尔顿与布拉德利斯托克,西南英格兰,英格兰
252,芬奇利与戈尔德斯格林,伦敦,英格兰
253,福克斯通与海斯,东南英格兰,英格兰
254,迪恩森林,西南英格兰,英格兰
255,福伊尔,北爱尔兰,北爱尔兰
256,法尔德,西北英格兰,英格兰
257,盖恩斯伯勒,东米德兰兹,英格兰
258,加斯顿与黑尔伍德,西北英格兰,英格兰
259,盖茨黑德,东北英格兰,英格兰
260,格德灵,东米德兰兹,英格兰
261,吉林厄姆与雷纳姆,东南英格兰,英格兰
262,格拉斯哥中央,苏格兰,苏格兰
263,格拉斯哥东,苏格兰,苏格兰
264,格拉斯哥北,苏格兰,苏格兰
265,格拉斯哥东北,苏格兰,苏格兰
266,格拉斯哥西北,苏格兰,苏格兰
267,格拉斯哥南,苏格兰,苏格兰
268,格拉斯哥西南,苏格兰,苏格兰
269,格伦罗西斯,苏格兰,苏格兰
270,格洛斯特,西南英格兰,英格兰
271,戈登,苏格兰,苏格兰
272,戈斯波特,东南英格兰,英格兰
273,高尔,威尔士,威尔士
274,格兰瑟姆与斯坦福德,东米德兰兹,英格兰
275,格雷夫舍姆,东南英格兰,英格兰
276,大格里姆斯比,约克郡-亨伯,英格兰
277,大雅茅斯,东英格兰,英格兰
278,格林尼治与伍利奇,伦敦,英格兰
279,吉尔福德,东南英格兰,英格兰
280,哈克尼北与斯托克纽因顿,伦敦,英格兰
281,哈克尼南与肖尔迪奇,伦敦,英格兰
282,黑尔斯欧文与罗利里吉斯,西米德兰兹,英格兰
283,哈利法克斯,约克郡-亨伯,英格兰
284,霍尔特姆普赖斯与豪登,约克郡-亨伯,英格兰
285,霍尔顿,西北英格兰,英格兰
286,哈默史密斯,伦敦,英格兰
287,东汉普郡,东南英格兰,英格兰
288,东北汉普郡,东南英格兰,英格兰
289,西北汉普郡,东南英格兰,英格兰
290,汉普斯特德与基尔伯恩,伦敦,英格兰
291,哈伯勒,东米德兰兹,英格兰
292,哈洛,东英格兰,英格兰
293,哈罗盖特与克纳尔斯伯勒,约克郡-亨伯,英格兰
294,哈罗东,伦敦,英格兰
295,哈罗西,伦敦,英格兰
296,哈特尔浦,东北英格兰,英格兰
297,哈威奇与北埃塞克斯,东英格兰,英格兰
298,黑斯廷斯与拉伊,东南英格兰,英格兰
299,哈文特,东南英格兰,英格兰
300,海斯与哈灵顿,伦敦,英格兰
301,黑泽尔格罗夫,西北英格兰,英格兰
302,海默尔亨普斯特德,东英格兰,英格兰
303,赫姆斯沃思,约克郡-亨伯,英格兰
304,亨登,伦敦,英格兰
305,亨利,东南英格兰,英格兰
306,赫里福德与赫里福德郡,西南英格兰,英格兰
307,北赫里福德郡,西米德兰兹,英格兰
308,赫特福德与斯托福德,东英格兰,英格兰
309,东北赫特福德郡,东英格兰,英格兰
310,西南赫特福德郡,东英格兰,英格兰
311,赫茨米尔,东英格兰,英格兰
312,赫克瑟姆,东北英格兰,英格兰
313,海伍德与米德尔顿,西北英格兰,英格兰
314,海皮克,东米德兰兹,英格兰
315,希钦与哈彭登,东英格兰,英格兰
316,霍尔本与圣潘克拉斯,伦敦,英格兰
317,霍恩彻奇与厄普明斯特,伦敦,英格兰
318,霍恩西与伍德格林,伦敦,英格兰
319,霍舍姆,东南英格兰,英格兰
320,霍顿与桑德兰南,东北英格兰,英格兰
321,霍夫,东南英格兰,英格兰
322,哈德斯菲尔德,约克郡-亨伯,英格兰
323,赫尔东,约克郡-亨伯,英格兰
324,赫尔北,约克郡-亨伯,英格兰
325,赫尔西与赫塞尔,约克郡-亨伯,英格兰
326,亨廷登,东英格兰,英格兰
327,海因德伯恩,西北英格兰,英格兰
328,伊尔福德北,伦敦,英格兰
329,伊尔福德南,伦敦,英格兰
330,因弗克莱德,苏格兰,苏格兰
331,因弗内斯、奈恩、巴代诺克与斯特拉什佩,苏格兰,苏格兰
332,伊普斯威奇,东英格兰,英格兰
333,怀特岛,东南英格兰,英格兰
334,伊斯灵顿北,伦敦,英格兰
335,伊斯灵顿南与芬斯伯里,伦敦,英格兰
336,伊斯卢因,威尔士,威尔士
337,贾罗,东北英格兰,英格兰
338,基斯利,约克郡-亨伯,英格兰
339,凯尼尔沃思与索瑟姆,西米德兰兹,英格兰
340,肯辛顿,伦敦,英格兰
341,凯特林,东米德兰兹,英格兰
342,基尔马诺克与劳登,苏格兰,苏格兰
343,金斯顿与瑟比顿,伦敦,英格兰
344,金斯伍德,西南英格兰,英格兰
345,柯科迪与考登比斯,苏格兰,苏格兰
346,诺斯利,西北英格兰,英格兰
347,拉甘谷,北爱尔兰,北爱尔兰
348,拉纳克与汉密尔顿东,苏格兰,苏格兰
349,西兰开夏郡,西北英格兰,英格兰
350,兰开斯特与弗利特伍德,西北英格兰,英格兰
351,利兹中央,约克郡-亨伯,英格兰
352,利兹东,约克郡-亨伯,英格兰
353,利兹东北,约克郡-亨伯,英格兰
354,利兹西北,约克郡-亨伯,英格兰
355,利兹西,约克郡-亨伯,英格兰
356,莱斯特东,东米德兰兹,英格兰
357,莱斯特南,东米德兰兹,英格兰
358,莱斯特西,东米德兰兹,英格兰
359,西北莱斯特郡,东米德兰兹,英格兰
360,南莱斯特郡,东米德兰兹,英格兰
361,利,西北英格兰,英格兰
362,刘易斯,东南英格兰,英格兰
363,刘易舍姆德特福德,伦敦,英格兰
364,刘易舍姆东,伦敦,英格兰
365,刘易舍姆西与彭奇,伦敦,英格兰
366,莱顿与旺斯特德,伦敦,英格兰
367,利奇菲尔德,西米德兰兹,英格兰
368,林肯,东米德兰兹,英格兰
369,林利斯戈与东福尔柯克,苏格兰,苏格兰
370,利物浦河滨,西北英格兰,英格兰
371,利物浦沃尔顿,西北英格兰,英格兰
372,利物浦韦弗特里,西北英格兰,英格兰
373,利物浦西德比,西北英格兰,英格兰
374,利文斯顿,苏格兰,苏格兰
375,拉内利,威尔士,威尔士
376,伦敦德里东,北爱尔兰,北爱尔兰
377,拉夫堡,东米德兰兹,英格兰
378,劳斯与霍恩卡斯尔,东米德兰兹,英格兰
379,拉德洛,西米德兰兹,英格兰
380,卢顿北,东英格兰,英格兰
381,卢顿南,东英格兰,英格兰
382,麦克尔斯菲尔德,西北英格兰,英格兰
383,梅登黑德,东南英格兰,英格兰
384,梅德斯通与韦尔德,东南英格兰,英格兰
385,梅克菲尔德,西北英格兰,英格兰
386,莫尔登,东英格兰,英格兰
387,曼彻斯特中央,西北英格兰,英格兰
388,曼彻斯特戈顿,西北英格兰,英格兰
389,曼彻斯特威辛顿,西北英格兰,英格兰
390,曼斯菲尔德,东米德兰兹,英格兰
391,米恩谷,东南英格兰,英格兰
392,梅里登,西米德兰兹,英格兰
393,梅瑟蒂德菲尔与朗达谷,威尔士,威尔士
394,米德尔斯堡,东北英格兰,英格兰
395,米德尔斯堡南与东克利夫兰,东北英格兰,英格兰
396,中洛锡安,苏格兰,苏格兰
397,米尔顿凯恩斯北,东南英格兰,英格兰
398,米尔顿凯恩斯南,东南英格兰,英格兰
399,米查姆与莫登,伦敦,英格兰
400,莫尔谷,东南英格兰,英格兰
401,蒙茅斯,威尔士,威尔士
402,蒙哥马利郡,威尔士,威尔士
403,马里,苏格兰,苏格兰
404,莫克姆与兰斯代尔,西北英格兰,英格兰
405,莫利与奥特伍德,约克郡-亨伯,英格兰
406,马瑟韦尔与威肖,苏格兰,苏格兰
407,西部群岛,苏格兰,苏格兰
408,尼思,威尔士,威尔士
409,新福里斯特东,东南英格兰,英格兰
410,新福里斯特西,东南英格兰,英格兰
411,纽瓦克,东米德兰兹,英格兰
412,纽伯里,东南英格兰,英格兰
413,纽卡斯尔安德莱姆,西米德兰兹,英格兰
414,纽卡斯尔市中心,东北英格兰,英格兰
415,纽卡斯尔东,东北英格兰,英格兰
416,纽卡斯尔北,东北英格兰,英格兰
417,纽波特东,威尔士,威尔士
418,纽波特西,威尔士,威尔士
419,纽里与阿马,北爱尔兰,北爱尔兰
420,牛顿艾伯特,西南英格兰,英格兰
421,中诺福克,东英格兰,英格兰
422,北诺福克,东英格兰,英格兰
423,西北诺福克,东英格兰,英格兰
424,南诺福克,东英格兰,英格兰
425,西南诺福克,东英格兰,英格兰
426,诺曼顿、庞蒂弗拉克特与卡斯尔福德,约克郡-亨伯,英格兰
427,北安普顿北,东米德兰兹,英格兰
428,北安普顿南,东米德兰兹,英格兰
429,南诺森伯兰郡,东米德兰兹,英格兰
430,诺里奇北,东英格兰,英格兰
431,诺里奇南,东英格兰,英格兰
432,诺丁汉东,东米德兰兹,英格兰
433,诺丁汉北,东米德兰兹,英格兰
434,诺丁汉南,东米德兰兹,英格兰
435,纽尼顿,西米德兰兹,英格兰
436,奥赫尔特与南佩思郡,苏格兰,苏格兰
437,奥格莫尔,威尔士,威尔士
438,老贝克斯利与锡德卡普,伦敦,英格兰
439,奥尔德姆东与萨德尔沃思,西北英格兰,英格兰
440,奥尔德姆西与罗伊顿,西北英格兰,英格兰
441,奥克尼与设得兰,苏格兰,苏格兰
442,奥尔平顿,伦敦,英格兰
443,牛津东,东南英格兰,英格兰
444,牛津西与阿宾登,东南英格兰,英格兰
445,北佩斯利与伦弗鲁郡,苏格兰,苏格兰
446,南佩斯利与伦弗鲁郡,苏格兰,苏格兰
447,彭德尔,西北英格兰,英格兰
448,佩尼斯通与斯托克斯布里奇,约克郡-亨伯,英格兰
449,彭里斯与边境,西北英格兰,英格兰
450,珀斯与北珀斯郡,苏格兰,苏格兰
451,彼得伯勒,东英格兰,英格兰
452,普利茅斯穆尔维尤,西南英格兰,英格兰
453,普利茅斯萨顿与德文波特,西南英格兰,英格兰
454,庞蒂普里德,威尔士,威尔士
455,普尔,西南英格兰,英格兰
456,波普勒与莱姆豪斯,伦敦,英格兰
457,朴茨茅斯北,东南英格兰,英格兰
458,朴茨茅斯南,东南英格兰,英格兰
459,普雷塞利彭布罗克郡,威尔士,威尔士
460,普雷斯顿,西北英格兰,英格兰
461,帕德斯,约克郡-亨伯,英格兰
462,普特尼,伦敦,英格兰
463,罗利与威克福德,东英格兰,英格兰
464,雷丁东,东南英格兰,英格兰
465,雷丁西,东南英格兰,英格兰
466,雷德卡,东北英格兰,英格兰
467,雷迪奇,西米德兰兹,英格兰
468,赖盖特,东南英格兰,英格兰
469,东伦弗鲁郡,苏格兰,苏格兰
470,朗达,威尔士,威尔士
471,里布尔谷,西北英格兰,英格兰
472,里士满（约克郡）,约克郡-亨伯,英格兰
473,里士满公园,伦敦,英格兰
474,罗奇代尔,西北英格兰,英格兰
475,罗彻斯特与斯特鲁德,东南英格兰,英格兰
476,罗奇福德与东绍森德,东英格兰,英格兰
477,罗姆福德,伦敦,英格兰
478,罗姆西与南安普顿北,东南英格兰,英格兰
479,罗斯、斯凯与洛哈伯,苏格兰,苏格兰
480,罗森代尔与达温,西北英格兰,英格兰
481,罗瑟谷,约克郡-亨伯,英格兰
482,罗瑟勒姆,约克郡-亨伯,英格兰
483,拉格比,西米德兰兹,英格兰
484,赖斯利普、诺斯伍德与平纳,伦敦,英格兰
485,兰尼米德与韦布里奇,东南英格兰,英格兰
486,拉什克利夫,东米德兰兹,英格兰
487,拉瑟格伦与汉密尔顿西,苏格兰,苏格兰
488,拉特兰与梅尔顿,东米德兰兹,英格兰
489,萨弗伦沃尔登,东英格兰,英格兰
490,圣奥尔本斯,东英格兰,英格兰
491,圣奥斯特尔与纽基,西南英格兰,英格兰
492,圣海伦斯北,西北英格兰,英格兰
493,圣海伦斯南与惠斯顿,西北英格兰,英格兰
494,圣艾夫斯,西南英格兰,英格兰
495,索尔福德与埃克尔斯,西北英格兰,英格兰
496,索尔兹伯里,西南英格兰,英格兰
497,斯卡伯勒与惠特比,约克郡-亨伯,英格兰
498,斯肯索普,约克郡-亨伯,英格兰
499,塞奇菲尔德,东北英格兰,英格兰
500,塞夫顿中央,西北英格兰,英格兰
501,塞尔比与安斯蒂,约克郡-亨伯,英格兰
502,塞文欧克斯,东南英格兰,英格兰
503,谢菲尔德布赖特赛德与希尔斯伯勒,约克郡-亨伯,英格兰
504,谢菲尔德中央,约克郡-亨伯,英格兰
505,谢菲尔德哈勒姆,约克郡-亨伯,英格兰
506,谢菲尔德希利,约克郡-亨伯,英格兰
507,谢菲尔德东南,约克郡-亨伯,英格兰
508,舍伍德,东米德兰兹,英格兰
509,希普利,约克郡-亨伯,英格兰
510,什鲁斯伯里与阿查姆,西米德兰兹,英格兰
511,北什罗普郡,西米德兰兹,英格兰
512,锡廷伯恩与谢佩,东南英格兰,英格兰
513,斯基普顿与里彭,约克郡-亨伯,英格兰
514,斯利福德与北海克姆,东米德兰兹,英格兰
515,斯劳,东南英格兰,英格兰
516,索利赫尔,西米德兰兹,英格兰
517,北萨默塞特,西南英格兰,英格兰
518,东北萨默塞特,西南英格兰,英格兰
519,萨默顿与弗罗姆,西南英格兰,英格兰
520,南霍兰与迪平斯,东米德兰兹,英格兰
521,南里布尔,西北英格兰,英格兰
522,南希尔兹,东北英格兰,英格兰
523,南安普顿伊琴,东南英格兰,英格兰
524,南安普顿泰斯特,东南英格兰,英格兰
525,西绍森德,东英格兰,英格兰
526,绍斯波特,西北英格兰,英格兰
527,斯佩尔索恩,东南英格兰,英格兰
528,斯塔福德,西米德兰兹,英格兰
529,斯塔福德郡穆尔兰,西米德兰兹,英格兰
530,西南斯塔福德郡,西米德兰兹,英格兰
531,斯泰利布里奇与海德,西北英格兰,英格兰
532,史蒂夫尼奇,东英格兰,英格兰
533,斯特灵,苏格兰,苏格兰
534,斯托克波特,西北英格兰,英格兰
535,斯托克顿北,东北英格兰,英格兰
536,斯托克顿南,东北英格兰,英格兰
537,特伦特河畔斯托克中央,西米德兰兹,英格兰
538,特伦特河畔斯托克北,西米德兰兹,英格兰
539,特伦特河畔斯托克南,西米德兰兹,英格兰
540,斯通,西米德兰兹,英格兰
541,斯托布里奇,西米德兰兹,英格兰
542,斯特兰福德,北爱尔兰,北爱尔兰
543,埃文河畔斯特拉特福,西米德兰兹,英格兰
544,斯特里汉姆,伦敦,英格兰
545,斯特雷特福德与厄姆斯顿,西北英格兰,英格兰
546,斯特劳德,西南英格兰,英格兰
547,中萨福克与北伊普斯威奇,东英格兰,英格兰
548,萨福克沿海,东英格兰,英格兰
549,南萨福克,东英格兰,英格兰
550,西萨福克,东英格兰,英格兰
551,桑德兰中央,东北英格兰,英格兰
552,东萨里,东南英格兰,英格兰
553,萨里希思,东南英格兰,英格兰
554,西南萨里,东南英格兰,英格兰
555,中西萨塞克斯,东南英格兰,英格兰
556,萨顿与奇姆,伦敦,英格兰
557,萨顿科尔菲尔德,西米德兰兹,英格兰
558,斯旺西东,威尔士,威尔士
559,斯旺西西,威尔士,威尔士
560,斯温登北,西南英格兰,英格兰
561,斯温登南,西南英格兰,英格兰
562,塔姆沃思,西米德兰兹,英格兰
563,塔顿,西北英格兰,英格兰
564,汤顿迪恩,西南英格兰,英格兰
565,特尔福德,西米德兰兹,英格兰
566,特克斯伯里,西南英格兰,英格兰
567,北萨尼特,东南英格兰,英格兰
568,南萨尼特,东南英格兰,英格兰
569,瑟斯克与莫尔顿,约克郡-亨伯,英格兰
570,桑伯里与耶特,西南英格兰,英格兰
571,瑟罗克,东英格兰,英格兰
572,蒂弗顿与霍尼顿,西南英格兰,英格兰
573,汤布里奇与莫林,东南英格兰,英格兰
574,图廷,伦敦,英格兰
575,托贝,西南英格兰,英格兰
576,托法恩,威尔士,威尔士
577,托特尼斯,西南英格兰,英格兰
578,托特纳姆,伦敦,英格兰
579,特鲁罗与法尔茅斯,西南英格兰,英格兰
580,坦布里奇韦尔斯,东南英格兰,英格兰
581,特威克纳姆,伦敦,英格兰
582,泰恩茅斯,东北英格兰,英格兰
583,北泰恩赛德,东北英格兰,英格兰
584,西蒂龙,北爱尔兰,北爱尔兰
585,中阿尔斯特,北爱尔兰,北爱尔兰
586,上班恩,北爱尔兰,北爱尔兰
587,阿克斯布里奇与赖斯利普南,伦敦,英格兰
588,克卢伊德谷,威尔士,威尔士
