完整英文名,名(Forename),姓(Surname),中文名
Imtiaz Ameen,Imtiaz,Ameen,伊姆蒂亚兹·阿明
Aleks Lukic,Aleks,Lukic,亚历克斯·卢基奇
John Lawson,John,Lawson,约翰·劳森
Ian Bullock,Ian,Bullock,伊恩·布洛克
Dawn Wheelhouse,Dawn,Wheelhouse,道恩·维尔豪斯
Karl Varley,Karl,Varley,卡尔·瓦利
Jane Ellison,Jane,Ellison,简·埃里森
Will Martindale,Will,Martindale,威尔·马丁代尔
Luke Taylor,Luke,Taylor,卢克·泰勒
Joe Stuart,Joe,Stuart,乔·斯图尔特
Christopher Howe,Christopher,Howe,克里斯托弗·豪
Dominic Grieve,Dominic,Grieve,多米尼克·格里夫
Tim Scott,Tim,Scott,蒂姆·斯科特
Tony Clements,Tony,Clements,托尼·克莱门茨
Peter Chapman,Peter,Chapman,彼得·查普曼
Dave Hampton,Dave,Hampton,戴夫·汉普顿
Bob Stewart,Bob,Stewart,鲍勃·斯图尔特
Marina Ahmad,Marina,Ahmad,玛丽娜·艾哈迈德
Rob Bryant,Rob,Bryant,罗布·布莱恩特
Anuja  Prashar,Anuja,Prashar,阿努贾·普拉沙尔
Ruth Fabricant,Ruth,Fabricant,鲁思·法布里坎特
Richard Fuller,Richard,Fuller,理查德·富勒
Patrick Hall,Patrick,Hall,帕特里克·霍尔
Charlie Smith,Charlie,Smith,查理·史密斯
Mahmud Henry Rogers,Mahmud,Henry Rogers,马哈茂德·亨利·罗杰斯
Ben Foley,Ben,Foley,本·弗利
Faruk Choudhury,Faruk,Choudhury,法鲁克·乔杜里
Neil  Coyle,Neil,Coyle,尼尔·科伊尔
Simon Hughes,Simon,Hughes,西蒙·休斯
JP Floru,JP,Floru,JP·弗洛鲁
Andrew Beadle,Andrew,Beadle,安德鲁·比德尔
William Lavin,William,Lavin,威廉·拉文
Kingsley Abrams,Kingsley,Abrams,金斯利·艾布拉姆斯
Lucy Hall,Lucy,Hall,露西·霍尔
Donald Cole,Donald,Cole,唐纳德·科尔
Steve Freeman,Steve,Freeman,史蒂夫·弗里曼
Anne-Marie Trevelyan,Anne-Marie,Trevelyan,安妮-玛丽·特里维廉
Julie Porksen,Julie,Porksen,朱莉·波克森
Scott Dickinson,Scott,Dickinson,斯科特·迪金森
Nigel Coghill-Marshall,Nigel,Coghill-Marshall,奈杰尔·科吉尔-马歇尔
Rachael Roberts,Rachael,Roberts,拉切尔·罗伯茨
Neil Humphrey,Neil,Humphrey,尼尔·汉弗莱
Rushanara Ali,Rushanara,Ali,鲁沙纳拉·阿里
Matt Smith,Matt,Smith,马特·史密斯
Alistair Polson,Alistair,Polson,阿利斯泰尔·波尔森
Paula McQueen,Paula,McQueen,保拉·麦奎因
Teena Lashmore,Teena,Lashmore,蒂娜·拉什莫尔
Glyn Robbins,Glyn,Robbins,格林·罗宾斯
M Rowshan Ali,M Rowshan,Ali,M·罗尚·阿里
Jonathan Dewey,Jonathan,Dewey,乔纳森·杜威
Alasdair Henderson,Alasdair,Henderson,阿拉斯代尔·亨德森
Elliot Ball,Elliot,Ball,埃利奥特·鲍尔
Jason Pavlou,Jason,Pavlou,贾森·帕夫卢
Graham Stuart,Graham,Stuart,格雷厄姆·斯图尔特
Margaret Pinder,Margaret,Pinder,玛格丽特·平德
Gary Shores,Gary,Shores,加里·肖尔斯
Denis Healy,Denis,Healy,丹尼斯·希利
Richard Howarth,Richard,Howarth,理查德·豪沃思
Lee Walton,Lee,Walton,李·沃尔顿
Huw Merriman,Huw,Merriman,休·梅里曼
Geoffrey Bastin,Geoffrey,Bastin,杰弗里·巴斯坦
Michelle Thew,Michelle,Thew,米歇尔·休
Rachel Sadler,Rachel,Sadler,雷切尔·萨德勒
Jonathan  Kent,Jonathan,Kent,乔纳森·肯特
David Evennett,David,Evennett,戴维·埃文内特
Stef Borella,Stef,Borella,斯特夫·博雷拉
Chris Attard,Chris,Attard,克里斯·阿塔德
Richard Davis,Richard,Davis,理查德·戴维斯
Stella Gardiner,Stella,Gardiner,斯特拉·加德纳
Maggi Young,Maggi,Young,玛吉·杨
Frank Field,Frank,Field,弗兰克·菲尔德
Clark Vasey,Clark,Vasey,克拉克·瓦西
Wayne Harling,Wayne,Harling,韦恩·哈林
Kenny Peers,Kenny,Peers,肯尼·皮尔斯
Allan Brame,Allan,Brame,艾伦·布拉姆
Gisela Stuart,Gisela,Stuart,吉塞拉·斯图尔特
Luke Evans,Luke,Evans,卢克·埃文斯
Graham Short,Graham,Short,格雷厄姆·肖特
Phil Simpson,Phil,Simpson,菲尔·辛普森
Lee Dargue,Lee,Dargue,李·达格
Gabriel Ukandu,Gabriel,Ukandu,加布里埃尔·乌坎杜
Henna Rai,Henna,Rai,亨娜·拉伊
Jack Dromey,Jack,Dromey,杰克·德罗米
Robert Alden,Robert,Alden,罗伯特·奥尔登
Andrew Garcarz,Andrew,Garcarz,安德鲁·加尔卡茨
Ann Holtom,Ann,Holtom,安·霍尔托姆
Joe Belcher,Joe,Belcher,乔·贝尔彻
Ted Woodley,Ted,Woodley,特德·伍德利
Roger Godsiff,Roger,Godsiff,罗杰·戈德史密斯
James Bird,James,Bird,詹姆斯·伯德
Jerry Evans,Jerry,Evans,杰里·埃文斯
Elly Stanton,Elly,Stanton,艾莉·斯坦顿
Rashpal Mondair,Rashpal,Mondair,拉什帕尔·蒙代尔
Shiraz Peer,Shiraz,Peer,希拉兹·皮尔
Liam Byrne,Liam,Byrne,利亚姆·伯恩
Kieran Mullan,Kieran,Mullan,基兰·马伦
Albert Duffen,Albert,Duffen,阿尔伯特·达芬
Phil Bennion,Phil,Bennion,菲尔·本尼恩
Christopher Nash,Christopher,Nash,克里斯托弗·纳什
Andy Chaffer,Andy,Chaffer,安迪·查弗
Shabana Mahmood,Shabana,Mahmood,沙巴娜·马哈茂德
Isabel Sigmac,Isabel,Sigmac,伊莎贝尔·西格马克
Clair Braund,Clair,Braund,克莱尔·布朗德
Anne Okole,Anne,Okole,安妮·奥科尔
Shazad Iqbal,Shazad,Iqbal,沙扎德·伊克巴尔
Timothy Burton,Timothy,Burton,蒂莫西·伯顿
Richard Burden,Richard,Burden,理查德·伯登
Rachel Maclean,Rachel,Maclean,雷切尔·麦克林
Keith Rowe,Keith,Rowe,基思·罗
Steven Haynes,Steven,Haynes,史蒂文·海恩斯
Anna Masters,Anna,Masters,安娜·马斯特斯
Khalid Mahmood,Khalid,Mahmood,哈立德·马哈茂德
Charlotte Hodivala,Charlotte,Hodivala,夏洛特·霍迪瓦拉
Arjun Singh,Arjun,Singh,阿尔琼·辛格
Harjinder Singh,Harjinder,Singh,哈金德·辛格
James Lovatt,James,Lovatt,詹姆斯·洛瓦特
Robert Punton,Robert,Punton,罗伯特·庞顿
Steve McCabe,Steve,McCabe,史蒂夫·麦凯布
Alex Boulter,Alex,Boulter,亚历克斯·博尔特
Steven Brookes,Steven,Brookes,史蒂文·布鲁克斯
Colin Green,Colin,Green,科林·格林
Clare Thomas,Clare,Thomas,克莱尔·托马斯
Jess Phillips,Jess,Phillips,杰斯·菲利普斯
John Hemming,John,Hemming,约翰·亨明
Paul Clayton,Paul,Clayton,保罗·克莱顿
Arun Photay,Arun,Photay,阿伦·福泰
Grant Bishop,Grant,Bishop,格兰特·毕晓普
Teval Stephens,Teval,Stephens,特瓦尔·斯蒂芬斯
Eamonn Flynn,Eamonn,Flynn,伊蒙·弗林
Peter Johnson,Peter,Johnson,彼得·约翰逊
Helen Goodman,Helen,Goodman,海伦·古德曼
Christopher Adams,Christopher,Adams,克里斯托弗·亚当斯
Rhys Burriss,Rhys,Burriss,里斯·伯里斯
Stephen White,Stephen,White,斯蒂芬·怀特
Thom Robinson,Thom,Robinson,汤姆·罗宾逊
Kate Hollern,Kate,Hollern,凯特·霍勒恩
Bob Eastwood,Bob,Eastwood,鲍勃·伊斯特伍德
Dayle Taylor,Dayle,Taylor,戴尔·泰勒
Gordan Lishman,Gordan,Lishman,戈尔丹·利什曼
Graham Stringer,Graham,Stringer,格雷厄姆·斯特林格
Martin Power,Martin,Power,马丁·鲍尔
Michelle Tanfield-Johnson,Michelle,Tanfield-Johnson,米歇尔·坦菲尔德-约翰逊
David Jones,David,Jones,戴维·琼斯
Richard Gadsden,Richard,Gadsden,理查德·加兹登
Paul Maynard,Paul,Maynard,保罗·梅纳德
Samuel Rushworth,Samuel,Rushworth,塞缪尔·拉什沃思
Simon Noble,Simon,Noble,西蒙·诺布尔
Sue Close,Sue,Close,苏·克洛斯
John Warnock,John,Warnock,约翰·沃诺克
James Walsh,James,Walsh,詹姆斯·沃尔什
Gordon Marsden,Gordon,Marsden,戈登·马斯登
Peter Anthony,Peter,Anthony,彼得·安东尼
Peter Wood,Peter,Wood,彼得·伍德
Duncan Royle,Duncan,Royle,邓肯·罗伊尔
Bill Greene,Bill,Greene,比尔·格林
Andy Higgins,Andy,Higgins,安迪·希金斯
Lawrence Chard,Lawrence,Chard,劳伦斯·查德
Dave Anderson,Dave,Anderson,戴夫·安德森
Mark Bell,Mark,Bell,马克·贝尔
Alison Griffiths,Alison,Griffiths,艾莉森·格里菲斯
Jonathan Wallace,Jonathan,Wallace,乔纳森·华莱士
Paul McNally,Paul,McNally,保罗·麦克纳利
Ronnie Campbell,Ronnie,Campbell,龙尼·坎贝尔
Barry Elliott,Barry,Elliott,巴里·埃利奥特
Greg Munro,Greg,Munro,格雷格·芒罗
Philip Latham,Philip,Latham,菲利普·莱瑟姆
Dawn Furness,Dawn,Furness,道恩·弗内斯
Nick Gibb,Nick,Gibb,尼克·吉布
Graham Jones,Graham,Jones,格雷厄姆·琼斯
Alan Butcher,Alan,Butcher,艾伦·布彻
Francis Oppler,Francis,Oppler,弗朗西斯·奥普勒
Simon McDougall,Simon,McDougall,西蒙·麦克杜格尔
Dennis Skinner,Dennis,Skinner,丹尼斯·斯金纳
Peter Bedford,Peter,Bedford,彼得·贝德福德
Ray Calladine,Ray,Calladine,雷·卡拉代恩
David Lomax,David,Lomax,戴维·洛马克斯
David Crausby,David,Crausby,戴维·克罗斯比
James Daly,James,Daly,詹姆斯·戴利
Harry Lamb,Harry,Lamb,哈里·兰姆
Stephen Rock,Stephen,Rock,斯蒂芬·罗克
Laura Diggle,Laura,Diggle,劳拉·迪格尔
Yasmin Qureshi,Yasmin,Qureshi,亚斯明·库雷希
Jeff Armstrong,Jeff,Armstrong,杰夫·阿姆斯特朗
Mudasir Dean,Mudasir,Dean,穆达西尔·迪恩
Alan Johnson,Alan,Johnson,艾伦·约翰逊
Darren Reynolds,Darren,Reynolds,达伦·雷诺兹
Chris Green,Chris,Green,克里斯·格林
Julie Hilling,Julie,Hilling,朱莉·希林
Bob Horsefield,Bob,Horsefield,鲍勃·霍斯菲尔德
Andrew Martin,Andrew,Martin,安德鲁·马丁
Andy Smith,Andy,Smith,安迪·史密斯
John Vickers,John,Vickers,约翰·维克斯
Peter Dowd,Peter,Dowd,彼得·多德
Paul Nuttall,Paul,Nuttall,保罗·纳托尔
Jade Marsden,Jade,Marsden,杰德·马斯登
Lisa Tallis,Lisa,Tallis,丽莎·塔利斯
David Newman,David,Newman,戴维·纽曼
Peter Glover,Peter,Glover,彼得·格洛弗
Matt Warman,Matt,Warman,马特·瓦曼
Robin Hunter-Clarke,Robin,Hunter-Clarke,罗宾·亨特-克拉克
Paul Kenny,Paul,Kenny,保罗·肯尼
David Watts,David,Watts,戴维·瓦茨
Victoria Percival,Victoria,Percival,维多利亚·珀西瓦尔
Chris Pain,Chris,Pain,克里斯·佩恩
Peter Johnson,Peter,Johnson,彼得·约翰逊
Lyn Luxton,Lyn,Luxton,林·勒克斯顿
Robert West,Robert,West,罗伯特·韦斯特
David Tredinnick,David,Tredinnick,戴维·特雷迪尼克
Michael Mullaney,Michael,Mullaney,迈克尔·马拉尼
Chris Kealey,Chris,Kealey,克里斯·基利
David Sprason,David,Sprason,戴维·斯普拉森
Tobias Ellwood,Tobias,Ellwood,托比亚斯·埃尔伍德
Peter Stokes,Peter,Stokes,彼得·斯托克斯
David Hughes,David,Hughes,戴维·休斯
Jon Nicholas,Jon,Nicholas,乔恩·尼古拉斯
Alasdair  Keddie,Alasdair,Keddie,阿拉斯代尔·凯迪
David Ross,David,Ross,戴维·罗斯
Conor Burns,Conor,Burns,科诺尔·伯恩斯
Martin Houlden,Martin,Houlden,马丁·霍尔登
David Stokes,David,Stokes,戴维·斯托克斯
Mike Plummer,Mike,Plummer,迈克·普卢默
Elizabeth McManus,Elizabeth,McManus,伊丽莎白·麦克马纳斯
Dick Franklin,Dick,Franklin,迪克·富兰克林
Phillip Lee,Phillip,Lee,菲利普·李
James Walsh,James,Walsh,詹姆斯·沃尔什
Richard Thomas,Richard,Thomas,理查德·托马斯
Patrick Smith,Patrick,Smith,帕特里克·史密斯
Derek Florey,Derek,Florey,德里克·弗洛里
Imran Hussain,Imran,Hussain,伊姆兰·侯赛因
David Ward,David,Ward,戴维·沃德
Iftikhar Ahmed,Iftikhar,Ahmed,伊夫蒂哈尔·艾哈迈德
Owais Rajput,Owais,Rajput,奥瓦伊斯·拉杰普特
Dave Stevens,Dave,Stevens,戴夫·史蒂文斯
James Lewthwaite,James,Lewthwaite,詹姆斯·卢思韦特
Judith Cummins,Judith,Cummins,朱迪丝·卡明斯
Tanya Graham,Tanya,Graham,塔尼娅·格雷厄姆
Jason Smith,Jason,Smith,贾森·史密斯
Andy Robinson,Andy,Robinson,安迪·罗宾逊
Andrew Tear,Andrew,Tear,安德鲁·蒂尔
Naseem  Shah,Naseem,Shah,纳西姆·沙阿
George Galloway,George,Galloway,乔治·加洛韦
George Grant,George,Grant,乔治·格兰特
Harry Boota,Harry,Boota,哈里·布塔
Alun Griffiths,Alun,Griffiths,阿伦·格里菲斯
Celia Hickson,Celia,Hickson,西莉亚·希克森
James Kirkcaldy,James,Kirkcaldy,詹姆斯·柯科迪
Therese Hirst,Therese,Hirst,特蕾丝·赫斯特
James Cleverly,James,Cleverly,詹姆斯·克莱弗利
Richard Bingley,Richard,Bingley,理查德·宾利
Malcolm Fincken,Malcolm,Fincken,马尔科姆·芬肯
Matthew Klesel,Matthew,Klesel,马修·克莱塞尔
Paul Jeater,Paul,Jeater,保罗·吉特
Toby Pereira,Toby,Pereira,托比·佩雷拉
Paul Hooks,Paul,Hooks,保罗·胡克斯
Dawn Butler,Dawn,Butler,道恩·巴特勒
Alan Mendoza,Alan,Mendoza,艾伦·门多萨
Lauren Keith,Lauren,Keith,劳伦·基思
Shahrar Ali,Shahrar,Ali,沙哈尔·阿里
Stephen Priestley,Stephen,Priestley,斯蒂芬·普里斯特利
John Boyle,John,Boyle,约翰·博伊尔
Kamran Malik,Kamran,Malik,卡姆兰·马利克
Noel Coonan,Noel,Coonan,诺埃尔·库南
Barry Gardiner,Barry,Gardiner,巴里·加德纳
Luke Parker,Luke,Parker,卢克·帕克
Paul Lorber,Paul,Lorber,保罗·洛伯
Alexander Craig,Alexander,Craig,亚历山大·克雷格
Scott Bartle,Scott,Bartle,斯科特·巴特尔
Elcena Jeffers,Elcena,Jeffers,埃尔塞纳·杰弗斯
Ruth Cadbury,Ruth,Cadbury,鲁思·卡德伯里
Mary Macleod,Mary,Macleod,玛丽·麦克劳德
Richard Hendron,Richard,Hendron,理查德·亨德伦
Joe Bourke,Joe,Bourke,乔·伯克
Daniel Goldsmith,Daniel,Goldsmith,丹尼尔·戈德史密斯
Eric Pickles,Eric,Pickles,埃里克·皮克尔斯
Michael McGough,Michael,McGough,迈克尔·麦高夫
Liam Preston,Liam,Preston,利亚姆·普雷斯顿
David Kendall,David,Kendall,戴维·肯德尔
Reza Hossain,Reza,Hossain,礼萨·侯赛因
Robin Tilbrook,Robin,Tilbrook,罗宾·蒂尔布鲁克
Ian Liddell-Grainger,Ian,Liddell-Grainger,伊恩·利德尔-格兰杰
Stephen Fitzgerald,Stephen,Fitzgerald,斯蒂芬·菲茨杰拉德
Mick Lerry,Mick,Lerry,米克·莱里
Theo Butt Philip,Theo,Butt Philip,西奥·巴特
Julie Harvey-Smith,Julie,Harvey-Smith,菲利普·朱莉·哈维-史密斯
Andrew Percy,Andrew,Percy,安德鲁·珀西
Jacky Crawford,Jacky,Crawford,杰基·克劳福德
David Jeffreys,David,Jeffreys,戴维·杰弗里斯
Natalie Hurst,Natalie,Hurst,娜塔莉·赫斯特
Liz Leffman,Liz,Leffman,利兹·莱夫曼
Trevor Dixon,Trevor,Dixon,特雷弗·迪克森
Ray Spalding,Ray,Spalding,雷·斯波尔丁
Simon Kirby,Simon,Kirby,西蒙·柯比
Nancy Platts,Nancy,Platts,南希·普拉茨
Ian Buchanan,Ian,Buchanan,伊恩·布坎南
Davy Jones,Davy,Jones,戴维·琼斯
Paul Chandler,Paul,Chandler,保罗·钱德勒
Jacqueline Shodeke,Jacqueline,Shodeke,杰奎琳·肖代克
Matt  Taylor,Matt,Taylor,马特·泰勒
Caroline Lucas,Caroline,Lucas,卡罗琳·卢卡斯
Purna Sen,Purna,Sen,普纳·森
Clarence Mitchell,Clarence,Mitchell,克拉伦斯·米切尔
Nigel Carter,Nigel,Carter,奈杰尔·卡特
Chris Bowers,Chris,Bowers,克里斯·鲍尔斯
Nick Yeomans,Nick,Yeomans,尼克·约曼斯
Howard Pilott,Howard,Pilott,霍华德·皮洛特
Kerry McCarthy,Kerry,McCarthy,克里·麦卡锡
Theo Clarke,Theo,Clarke,西奥·克拉克
James McMurray,James,McMurray,詹姆斯·麦克默里
Lorraine Francis,Lorraine,Francis,洛兰·弗朗西斯
Abdul Malik,Abdul,Malik,阿卜杜勒·马利克
Matt Gordon,Matt,Gordon,马特·戈登
Charlotte Leslie,Charlotte,Leslie,夏洛特·莱斯利
Darren Jones,Darren,Jones,达伦·琼斯
Michael Frost,Michael,Frost,迈克尔·弗罗斯特
Clare Campion-Smith,Clare,Campion-Smith,克莱尔·坎皮恩-史密斯
Justin Quinnell,Justin,Quinnell,贾斯汀·昆内尔
Anne Lemon,Anne,Lemon,安妮·莱蒙
Karin Smyth,Karin,Smyth,卡琳·史密西
Isobel Grant,Isobel,Grant,伊泽贝尔·格兰特
Stephen Wood,Stephen,Wood,斯蒂芬·伍德
Tony Dyer,Tony,Dyer,托尼·戴尔
Mark Wright,Mark,Wright,马克·赖特
Tom Baldwin,Tom,Baldwin,汤姆·鲍德温
Thangam Debbonaire,Thangam,Debbonaire,坦加姆·德博奈尔
Darren Hall,Darren,Hall,达伦·霍尔
Stephen Williams,Stephen,Williams,斯蒂芬·威廉姆斯
Claire Hiscott,Claire,Hiscott,克莱尔·希斯科特
Paul Turner,Paul,Turner,保罗·特纳
Dawn Parry,Dawn,Parry,道恩·帕里
Stewart Weston,Stewart,Weston,斯图尔特·韦斯顿
Keith Simpson,Keith,Simpson,基思·辛普森
Christopher Jones,Christopher,Jones,克里斯托弗·琼斯
Stuart Agnew,Stuart,Agnew,斯图尔特·阿格纽
Steve Riley,Steve,Riley,史蒂夫·赖利
Andrew Boswell,Andrew,Boswell,安德鲁·博斯韦尔
Robert  Neill,Robert,Neill,罗伯特·尼尔
John Courtneidge,John,Courtneidge,约翰·考特尼奇
Emmett Jenner,Emmett,Jenner,埃米特·詹纳
Sam Webber,Sam,Webber,山姆·韦伯
Roisin Robertson,Roisin,Robertson,罗伊辛·罗伯逊
Sajid Javid,Sajid,Javid,萨吉德·贾维德
Tom Ebbutt,Tom,Ebbutt,汤姆·埃巴特
Stuart Cross,Stuart,Cross,斯图尔特·克罗斯
Bart Ricketts,Bart,Ricketts,巴特·里基茨
Spoz Esposito,Spoz,Esposito,斯波兹·埃斯波西托
Charles Walker,Charles,Walker,查尔斯·沃克
David Platt,David,Platt,戴维·普拉特
Edward Robinson,Edward,Robinson,爱德华·罗宾逊
Anthony Rowlands,Anthony,Rowlands,安东尼·罗兰兹
Russell Secker,Russell,Secker,罗素·塞克
Anna Soubry,Anna,Soubry,安娜·苏布里
Nick  Palmer,Nick,Palmer,尼克·帕尔默
Frank Dunne,Frank,Dunne,弗兰克·邓恩
Stan Heptinstall,Stan,Heptinstall,斯坦·赫普廷斯托尔
David Kirwan,David,Kirwan,戴维·柯万
Raymond Barry,Raymond,Barry,雷蒙德·巴里
John Bercow,John,Bercow,约翰·伯科
David Fowler,David,Fowler,戴维·福勒
Alan Francis,Alan,Francis,艾伦·弗朗西斯
Julie Cooper,Julie,Cooper,朱莉·库珀
Gordon Birtwistle,Gordon,Birtwistle,戈登·伯特威斯尔
Tom Commis,Tom,Commis,汤姆·科米斯
Sarah Cockburn-Price,Sarah,Cockburn-Price,莎拉·科伯恩-普赖斯
Mike Hargreaves,Mike,Hargreaves,迈克·哈格里夫斯
Andrew Griffiths,Andrew,Griffiths,安德鲁·格里菲斯
Jon Wheale,Jon,Wheale,乔恩·惠尔
Mike Green,Mike,Green,迈克·格林
David MacDonald,David,MacDonald,戴维·麦克唐纳
Sam Patrone,Sam,Patrone,山姆·帕特龙
David Nuttall,David,Nuttall,戴维·纳托尔
James Frith,James,Frith,詹姆斯·弗里思
Ian Henderson,Ian,Henderson,伊恩·亨德森
John Southworth,John,Southworth,约翰·索斯沃思
Richard Baum,Richard,Baum,理查德·鲍姆
Ivan Lewis,Ivan,Lewis,伊万·刘易斯
Daniel Critchlow,Daniel,Critchlow,丹尼尔·克里奇洛
Seamus Martin,Seamus,Martin,西莫斯·马丁
Paul Ankers,Paul,Ankers,保罗·安克尔斯
Glyn Heath,Glyn,Heath,格林·希思
Valerie Morris,Valerie,Morris,瓦莱丽·莫里斯
Jo Churchill,Jo,Churchill,乔·丘吉尔
William Edwards,William,Edwards,威廉·爱德华兹
John Howlett,John,Howlett,约翰·豪利特
Helen Geake,Helen,Geake,海伦·盖克
David Chappell,David,Chappell,戴维·查普尔
Craig Whittaker,Craig,Whittaker,克雷格·惠特克
Josh Fenton-Glynn,Josh,Fenton-Glynn,乔希·芬顿-格林
Paul Rogan,Paul,Rogan,保罗·罗根
